title,url,tags,score,creationdate
"Absolute import failing in subpackage that shadows a stdlib package name","https://stackoverflow.com/questions/1959188","<python><import>","7","2009-12-24 17:46:34"
"Django manytomany signals?","https://stackoverflow.com/questions/1958540","<python><django><django-models><django-signals>","5","2009-12-24 14:38:29"
"Why are there dummy modules in sys.modules?","https://stackoverflow.com/questions/1958417","<python><import>","18","2009-12-24 13:58:46"
"How to convert SQLAlchemy row object to a Python dict?","https://stackoverflow.com/questions/1958219","<python><sqlalchemy>","445","2009-12-24 12:42:34"
"Functions not executing in Python","https://stackoverflow.com/questions/1958134","<python>","3","2009-12-24 12:15:29"
"char to keycode in python","https://stackoverflow.com/questions/1957867","<python><linux><keycode>","2","2009-12-24 10:55:57"
"Python2.4 and 2.6 behaves differently for os.path.getmtime() on Windows","https://stackoverflow.com/questions/1957866","<python><windows>","4","2009-12-24 10:55:51"
"How to override the [] operator in Python?","https://stackoverflow.com/questions/1957780","<python><operator-overloading>","354","2009-12-24 10:35:24"
"Why python super does not accept only instance?","https://stackoverflow.com/questions/1957251","<python><language-design>","5","2009-12-24 07:41:47"
"render_to_response gives TemplateDoesNotExist","https://stackoverflow.com/questions/1957089","<python><django><django-templates>","8","2009-12-24 06:46:25"
"How to make Fabric ignore offline hosts in the env.hosts list?","https://stackoverflow.com/questions/1956777","<python><fabric>","11","2009-12-24 05:06:03"
"How to make Fabric execution follow the env.hosts list order?","https://stackoverflow.com/questions/1956717","<python><fabric>","4","2009-12-24 04:45:09"
"i don't know __iter__ in python,who can give me a good code example","https://stackoverflow.com/questions/1956623","<python><iterator>","6","2009-12-24 04:08:26"
"How to redirect stderr in Python? Via Python C API?","https://stackoverflow.com/questions/1956407","<python><c><stdout><python-c-api><io-redirection>","4","2009-12-24 02:43:48"
"Python - Idiom to check if string is empty, print default","https://stackoverflow.com/questions/1956249","<python><django><idioms>","6","2009-12-24 01:25:20"
"How to redirect stderr in Python?","https://stackoverflow.com/questions/1956142","<python><http-redirect><stderr>","36","2009-12-24 00:46:09"
"Deploying Django at alwaysdata.com","https://stackoverflow.com/questions/1955189","<python><django><fastcgi>","9","2009-12-23 20:38:46"
"Python: which XML parsing library will work out-of-the-box for Python 2.4 and up?","https://stackoverflow.com/questions/1954923","<python><xml>","7","2009-12-23 19:45:22"
"Basics of SymPy","https://stackoverflow.com/questions/1954799","<python><sympy>","4","2009-12-23 19:19:48"
"What's the point of a main function and/or __name__ == ""__main__"" check in Python?","https://stackoverflow.com/questions/1954700","<python>","18","2009-12-23 19:03:12"
"Writing a manager to filter query set results","https://stackoverflow.com/questions/1954664","<python><django><django-models>","6","2009-12-23 18:55:47"
"How can I run 2 servers at once in Python?","https://stackoverflow.com/questions/1954549","<python><multithreading>","5","2009-12-23 18:33:37"
"Python instance method in C","https://stackoverflow.com/questions/1954494","<python><c><python-c-api>","4","2009-12-23 18:25:06"
"deleting old folders with datetime function","https://stackoverflow.com/questions/1953958","<python>","3","2009-12-23 16:51:05"
"Accessing XMLNS attribute with Python Elementree?","https://stackoverflow.com/questions/1953761","<python><xml><elementtree>","26","2009-12-23 16:19:07"
"Weird unpickling error when using multiprocessing","https://stackoverflow.com/questions/1953261","<python><exception><multiprocessing><pickle><python-multiprocessing>","3","2009-12-23 14:57:47"
"permutations of two lists in python","https://stackoverflow.com/questions/1953194","<python>","61","2009-12-23 14:44:12"
"Get request object in a db model?","https://stackoverflow.com/questions/1952704","<python><google-app-engine>","2","2009-12-23 13:06:17"
"Python: how to determine if an object is iterable?","https://stackoverflow.com/questions/1952464","<python><iterable>","1446","2009-12-23 12:13:55"
"How can I create a static variable in a Python class via the C API?","https://stackoverflow.com/questions/1952379","<python><c>","8","2009-12-23 11:59:20"
"How to parse a C header file?","https://stackoverflow.com/questions/1951421","<python><c>","23","2009-12-23 08:36:07"
"Python - Things I shouldn't be doing?","https://stackoverflow.com/questions/1951012","<python>","4","2009-12-23 06:31:03"
"SendKeys failing after 2 runs in thread","https://stackoverflow.com/questions/1950781","<python><sendkeys>","2","2009-12-23 04:58:58"
"Python: Split list into list of dicts?","https://stackoverflow.com/questions/1950672","<python><list><dictionary>","4","2009-12-23 04:21:19"
"What is the purpose of deepcopy's second parameter, memo?","https://stackoverflow.com/questions/1950563","<python>","27","2009-12-23 03:37:56"
"wxPython file dialog error: missing ""|"" in the wildcard string!","https://stackoverflow.com/questions/1950454","<python><wxpython>","2","2009-12-23 02:56:55"
"What is the purpose of classmethod in this code?","https://stackoverflow.com/questions/1950414","<python>","72","2009-12-23 02:39:39"
"Is it Pythonic to check function argument types?","https://stackoverflow.com/questions/1950386","<python><typechecking>","22","2009-12-23 02:31:03"
"pyyaml: dumping without tags","https://stackoverflow.com/questions/1950306","<python><yaml><pyyaml>","72","2009-12-23 02:03:11"
"Does Python have any for loop equivalent (not foreach)","https://stackoverflow.com/questions/1950098","<python><loops><for-loop>","13","2009-12-23 00:41:31"
"Suspicious Operation Django","https://stackoverflow.com/questions/1950069","<python><django>","28","2009-12-23 00:32:32"
"Python: intercept a class loading action","https://stackoverflow.com/questions/1950062","<python><unit-testing>","6","2009-12-23 00:29:55"
"Parsing an html file and adding found images to a zip file","https://stackoverflow.com/questions/1949549","<python><zip>","2","2009-12-22 22:16:59"
"How to add clickable links to a field in Django admin?","https://stackoverflow.com/questions/1949248","<python><django>","88","2009-12-22 21:20:49"
"Is the Python 3.x signal library for Windows incomplete?","https://stackoverflow.com/questions/1948862","<python>","3","2009-12-22 20:19:14"
"twisted threading with subprocess.Popen?","https://stackoverflow.com/questions/1948641","<python><multithreading><twisted><subprocess>","3","2009-12-22 19:39:09"
"Python library for sending/managing usage statistics","https://stackoverflow.com/questions/1948404","<python><usage-statistics>","3","2009-12-22 18:53:56"
"Adding new forms to a Django formset based on POST data","https://stackoverflow.com/questions/1948052","<python><django><django-forms>","3","2009-12-22 17:50:38"
"Diacritic signs","https://stackoverflow.com/questions/1947837","<python><django><unicode>","2","2009-12-22 17:16:50"
"python email error","https://stackoverflow.com/questions/1947701","<python>","3","2009-12-22 16:58:43"
"urllib2.urlopen() vs urllib.urlopen() - urllib2 throws 404 while urllib works! WHY?","https://stackoverflow.com/questions/1947133","<python><url><http-status-code-404><urllib2><urllib>","18","2009-12-22 15:34:59"
"How does the Python conditional operator workaround work?","https://stackoverflow.com/questions/1947030","<python><indexing><boolean><conditional-operator>","21","2009-12-22 15:22:26"
"In Django, How do I get escaped html in HttpResponse?","https://stackoverflow.com/questions/1946281","<python><django><django-templates><escaping><httpresponse>","15","2009-12-22 13:07:26"
"Best way to serialize a range of hours to meaningful data","https://stackoverflow.com/questions/1946265","<javascript><jquery><python><serialization>","2","2009-12-22 13:03:56"
"Why doesn't os.path.join() work in this case?","https://stackoverflow.com/questions/1945920","<python><path>","424","2009-12-22 11:53:28"
"converting a zcml based python script to a standalone script in zope/plone","https://stackoverflow.com/questions/1945812","<python><plone><zope>","3","2009-12-22 11:29:09"
"python add a new div every 3rd iteration","https://stackoverflow.com/questions/1945379","<python><django-templates>","17","2009-12-22 10:05:45"
"Why does the following code always output 16?","https://stackoverflow.com/questions/1945270","<python>","4","2009-12-22 09:45:51"
"Python Format string ""}"" fill","https://stackoverflow.com/questions/1945230","<python><string-formatting>","5","2009-12-22 09:37:28"
"Having trouble with Python's telnetlib module","https://stackoverflow.com/questions/1945084","<python><telnet>","4","2009-12-22 09:06:34"
"What is the relationship between __getattr__ and getattr?","https://stackoverflow.com/questions/1944625","<python><getattr>","40","2009-12-22 07:04:18"
"How do I write good/correct package __init__.py files","https://stackoverflow.com/questions/1944569","<python><package>","246","2009-12-22 06:48:52"
"Extending numpy with cython","https://stackoverflow.com/questions/1944006","<python><numpy><word-wrap><cython>","4","2009-12-22 03:32:20"
"How to get value on a certain index, in a python list?","https://stackoverflow.com/questions/1943824","<python>","6","2009-12-22 02:10:45"
"Python logging before you run logging.basicConfig?","https://stackoverflow.com/questions/1943747","<python><logging><python-logging>","58","2009-12-22 01:46:53"
"How to redirect to a newly created object in Django without a Generic View's post_save_redirect argument","https://stackoverflow.com/questions/1943510","<python><django>","3","2009-12-22 00:30:56"
"Python regular expression inconsistency","https://stackoverflow.com/questions/1943400","<python><regex>","2","2009-12-21 23:54:19"
"Tab completion with Python's Cmd.cmd","https://stackoverflow.com/questions/1943244","<autocomplete><python-3.x><tab-completion>","7","2009-12-21 23:15:02"
"Add a member variable / method to a Python generator?","https://stackoverflow.com/questions/1942328","<python><generator><local>","6","2009-12-21 20:10:17"
"Wrapping a C library in Python: C, Cython or ctypes?","https://stackoverflow.com/questions/1942298","<python><c><ctypes><cython>","319","2009-12-21 20:05:51"
"how to properly destroy gtk.Dialog objects/widgets","https://stackoverflow.com/questions/1942295","<python><pygtk><dialog>","2","2009-12-21 20:05:28"
"How to import constants from .h file into python module","https://stackoverflow.com/questions/1942020","<python><c>","4","2009-12-21 19:16:17"
"Convert an RFC 3339 time to a standard Python timestamp","https://stackoverflow.com/questions/1941927","<python><datetime><rfc3339>","36","2009-12-21 19:00:30"
"Creating a new virtualenv results in an error","https://stackoverflow.com/questions/1941894","<python><virtualenv>","2","2009-12-21 18:53:09"
